,train,test
640,tensor(3.9282),tensor(6.8948)
641,tensor(3.9274),tensor(6.8949)
642,tensor(3.9223),tensor(6.8948)
643,tensor(3.9182),tensor(6.8948)
644,tensor(3.9194),tensor(6.8948)
645,tensor(3.9283),tensor(6.8948)
646,tensor(3.9134),tensor(6.8948)
647,tensor(3.9321),tensor(6.8949)
648,tensor(3.9204),tensor(6.8949)
649,tensor(3.9323),tensor(6.8948)
650,tensor(3.9148),tensor(6.8947)
651,tensor(3.9092),tensor(6.8946)
652,tensor(3.9073),tensor(6.8945)
653,tensor(3.9248),tensor(6.8945)
654,tensor(3.9335),tensor(6.8946)
655,tensor(3.9280),tensor(6.8947)
656,tensor(3.9215),tensor(6.8948)
657,tensor(3.9172),tensor(6.8948)
658,tensor(3.9017),tensor(6.8948)
659,tensor(3.9135),tensor(6.8948)
660,tensor(3.9194),tensor(6.8947)
661,tensor(3.9236),tensor(6.8948)
662,tensor(3.8917),tensor(6.8947)
663,tensor(3.9054),tensor(6.8946)
664,tensor(3.9176),tensor(6.8946)
